id,osm_type,osm_id,municipality,calc_area_m2,calc_capacity_kw,calc_annual_kwh,calc_peak_kw,matched_query_tags,osm_tags,generated_at
way/1039056931,way,1039056931,横瀬町,115.41,20.77,21808.5,15.58,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/1039056932,way,1039056932,横瀬町,127.02,22.86,24003.0,17.14,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/1039056933,way,1039056933,横瀬町,134.89,24.28,25494.0,18.21,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/1039056934,way,1039056934,横瀬町,134.88,24.28,25494.0,18.21,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/1039056935,way,1039056935,横瀬町,83.21,14.98,15729.0,11.23,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/1039056936,way,1039056936,横瀬町,86.7,15.61,16390.5,11.71,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/1039056937,way,1039056937,横瀬町,97.06,17.47,18343.5,13.1,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/1039056938,way,1039056938,横瀬町,86.55,15.58,16359.0,11.69,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/1039056939,way,1039056939,横瀬町,37.48,6.75,7087.5,5.06,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/1039056940,way,1039056940,横瀬町,76.05,13.69,14374.5,10.27,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
